account_id,synthetic_account_number,bank_name,account_holder_person_id,branch,state,account_type
ACC-000001,319829657249,National Trust Bank,P-000089,Hyderabad Branch,Telangana,current
ACC-000002,868288909310,Bank X,P-000090,Hyderabad Branch,Telangana,savings
ACC-000003,718818174143,National Trust Bank,P-000007,Dehradun Branch,Uttarakhand,savings
ACC-000004,319254499207,Bank X,,Faridabad Branch,Haryana,savings
ACC-000005,771834170471,Bharat Savings Bank,,Dibrugarh Branch,Assam,current
ACC-000006,845298415377,Metro Cooperative Bank,P-000094,Bengaluru Urban Branch,Karnataka,savings
ACC-000007,764265651505,Union Commercial Bank,P-000008,Haldwani Branch,Uttarakhand,savings
ACC-000008,669156404104,National Trust Bank,,Kolkata Branch,West Bengal,current
ACC-000009,688310679247,Bank X,,Rourkela Branch,Odisha,savings
ACC-000010,544446347861,National Trust Bank,P-000009,Panipat Branch,Haryana,savings
ACC-000011,762833125815,National Trust Bank,,Jodhpur Branch,Rajasthan,savings
ACC-000012,836450749528,Bharat Savings Bank,P-000098,Jalandhar Branch,Punjab,savings
ACC-000013,143667640206,Metro Cooperative Bank,P-000010,Panipat Branch,Haryana,savings
ACC-000014,313228171800,National Trust Bank,,Guwahati Branch,Assam,savings
ACC-000015,611148936439,Bank X,P-000100,Kolkata Branch,West Bengal,savings
ACC-000016,453783830640,Bank X,P-000011,Mysuru Branch,Karnataka,savings
ACC-000017,705656304813,Metro Cooperative Bank,P-000101,Bhubaneswar Branch,Odisha,savings
ACC-000018,237609260309,National Trust Bank,,Salem Branch,Tamil Nadu,savings
ACC-000019,125328704655,Metro Cooperative Bank,,Bhopal Branch,Madhya Pradesh,savings
ACC-000020,546107358735,Union Commercial Bank,,Nainital Branch,Uttarakhand,current
ACC-000021,636060710431,Bharat Savings Bank,P-000012,Jamtara Branch,Jharkhand,savings
ACC-000022,091031776467,National Trust Bank,P-000105,Indore Branch,Madhya Pradesh,savings
ACC-000023,557591836236,Bank X,,Warangal Branch,Telangana,savings
ACC-000024,913167723267,Bharat Savings Bank,P-000107,Coimbatore Branch,Tamil Nadu,savings
ACC-000025,144494544373,National Trust Bank,P-000013,Bhopal Branch,Madhya Pradesh,savings
ACC-000026,388317010737,Union Commercial Bank,,Bengaluru Urban Branch,Karnataka,current
ACC-000027,827940199530,Union Commercial Bank,,Vadodara Branch,Gujarat,savings
ACC-000028,652941307871,Metro Cooperative Bank,,Ahmedabad Branch,Gujarat,savings
ACC-000029,281264644604,Bharat Savings Bank,P-000014,Thiruvananthapuram Branch,Kerala,savings
ACC-000030,630626116957,National Trust Bank,,Surat Branch,Gujarat,savings
ACC-000031,225428211673,Union Commercial Bank,,Patna Branch,Bihar,current
ACC-000032,750961923969,National Trust Bank,P-000015,Belagavi Branch,Karnataka,savings
ACC-000033,233080516978,Union Commercial Bank,,Jalandhar Branch,Punjab,savings
ACC-000034,009773797276,Bank X,,Guwahati Branch,Assam,savings
ACC-000035,178800215810,Bharat Savings Bank,P-000016,Thiruvananthapuram Branch,Kerala,savings
ACC-000036,742315942594,Metro Cooperative Bank,P-000115,Coimbatore Branch,Tamil Nadu,savings
ACC-000037,503262456241,Bharat Savings Bank,,Guwahati Branch,Assam,savings
ACC-000038,788914865465,Bharat Savings Bank,P-000017,Ernakulam Branch,Kerala,savings
ACC-000039,449500324966,Bharat Savings Bank,,Ghaziabad Branch,Uttar Pradesh,current
ACC-000040,541858369492,National Trust Bank,,Ghaziabad Branch,Uttar Pradesh,savings
ACC-000041,203271124640,Bank X,P-000018,Panipat Branch,Haryana,current
ACC-000042,200080623201,Bank X,,Guwahati Branch,Assam,savings
ACC-000043,841407806671,Metro Cooperative Bank,,Bhubaneswar Branch,Odisha,savings
ACC-000044,486844318024,National Trust Bank,,Siliguri Branch,West Bengal,savings
ACC-000045,536593687780,Bank X,P-000019,Jamtara Branch,Jharkhand,current
ACC-000046,192200119252,Bank X,,Ludhiana Branch,Punjab,savings
ACC-000047,538161333100,Bank X,,Ghaziabad Branch,Uttar Pradesh,savings
ACC-000048,345564054405,Union Commercial Bank,P-000020,Warangal Branch,Telangana,savings
ACC-000049,157089319426,Bank X,P-000124,Nashik Branch,Maharashtra,savings
ACC-000050,279584924337,National Trust Bank,P-000125,Chennai Branch,Tamil Nadu,current
ACC-000051,166160534468,Bharat Savings Bank,P-000126,Coimbatore Branch,Tamil Nadu,savings
ACC-000052,372899059582,Metro Cooperative Bank,P-000021,Jalandhar Branch,Punjab,savings
ACC-000053,738344922359,Bharat Savings Bank,,Jodhpur Branch,Rajasthan,savings
ACC-000054,136224464311,Union Commercial Bank,,Coimbatore Branch,Tamil Nadu,current
ACC-000055,470249603699,Metro Cooperative Bank,,Jaipur Branch,Rajasthan,savings
ACC-000056,932176541636,National Trust Bank,P-000022,Jodhpur Branch,Rajasthan,current
ACC-000057,506710483238,Union Commercial Bank,,Guwahati Branch,Assam,current
ACC-000058,673268195044,Metro Cooperative Bank,,Gaya Branch,Bihar,savings
ACC-000059,134683673221,National Trust Bank,P-000132,Gaya Branch,Bihar,savings
ACC-000060,256748275346,Union Commercial Bank,P-000023,Nagpur Branch,Maharashtra,savings
ACC-000061,457769152460,Bank X,P-000133,Bhagalpur Branch,Bihar,current
ACC-000062,144919232752,National Trust Bank,,Nagpur Branch,Maharashtra,savings
ACC-000063,738171814632,Metro Cooperative Bank,,Belagavi Branch,Karnataka,savings
ACC-000064,273728902579,Metro Cooperative Bank,P-000024,Warangal Branch,Telangana,savings
ACC-000065,500905187720,National Trust Bank,,Belagavi Branch,Karnataka,savings
ACC-000066,656480445765,Bharat Savings Bank,,Dibrugarh Branch,Assam,current
ACC-000067,429106868906,Union Commercial Bank,,Bhopal Branch,Madhya Pradesh,savings
ACC-000068,790889692913,Bank X,P-000025,Kanpur Branch,Uttar Pradesh,savings
ACC-000069,052484426050,Metro Cooperative Bank,P-000139,Rourkela Branch,Odisha,savings
ACC-000070,671069927681,Bank X,,Salem Branch,Tamil Nadu,savings
ACC-000071,060011312704,Bharat Savings Bank,P-000026,Ludhiana Branch,Punjab,savings
ACC-000072,487740000091,Metro Cooperative Bank,,Rangareddy Branch,Telangana,savings
ACC-000073,977221526767,Union Commercial Bank,,Varanasi Branch,Uttar Pradesh,savings
ACC-000074,029496366693,Metro Cooperative Bank,,Indore Branch,Madhya Pradesh,savings
ACC-000075,248758188763,National Trust Bank,,Faridabad Branch,Haryana,savings
ACC-000076,734906781851,National Trust Bank,P-000027,Rajkot Branch,Gujarat,savings
ACC-000077,331245995682,National Trust Bank,,Guwahati Branch,Assam,current
ACC-000078,905489010397,Bharat Savings Bank,P-000146,Mysuru Branch,Karnataka,savings
ACC-000079,532610008577,Bank X,P-000147,Warangal Branch,Telangana,savings
ACC-000080,145931862725,National Trust Bank,P-000028,Pune Branch,Maharashtra,savings
ACC-000081,870125034997,Bank X,,Nagpur Branch,Maharashtra,savings
ACC-000082,073023195271,Metro Cooperative Bank,,Ernakulam Branch,Kerala,savings
ACC-000083,530278272466,National Trust Bank,,Coimbatore Branch,Tamil Nadu,savings
ACC-000084,452471577128,Bank X,P-000029,Pune Branch,Maharashtra,savings
ACC-000085,316462042078,Union Commercial Bank,,Rourkela Branch,Odisha,savings
ACC-000086,634922283239,Bank X,P-000152,Patna Branch,Bihar,current
ACC-000087,018608554710,Metro Cooperative Bank,,Rajkot Branch,Gujarat,savings
ACC-000088,329502599058,Metro Cooperative Bank,P-000030,Bhagalpur Branch,Bihar,savings
ACC-000089,904177808820,National Trust Bank,,Bhopal Branch,Madhya Pradesh,savings
ACC-000090,340997837151,National Trust Bank,,Mumbai Branch,Maharashtra,savings
ACC-000091,289332976206,Metro Cooperative Bank,P-000156,Chennai Branch,Tamil Nadu,savings
ACC-000092,556356956805,Bharat Savings Bank,P-000031,Ernakulam Branch,Kerala,current
ACC-000093,821563803266,Metro Cooperative Bank,P-000157,Mumbai Branch,Maharashtra,current
ACC-000094,480914180630,Union Commercial Bank,,Kolkata Branch,West Bengal,savings
