person_id,canonical_name,aliases,gender,age,occupation,state,district,address,source_docs
P-000001,Faqid Rana,FaqidRana,male,35,Unemployed,Telangana,Warangal,"15/90, Kala Circle, Chandigarh 613186",
P-000002,Mitesh Golla,,male,26,Unemployed,Telangana,Rangareddy,"H.No. 18, Bhasin Zila, Mehsana 579754",
P-000003,Gautam Kohli,,male,21,Shop Assistant,Telangana,Warangal,"75/74, Bora, Anand 252760",
P-000004,Naksh Oak,Shri Naksh Oak;NakshOak,male,21,Data Entry Operator,Telangana,Hyderabad,"71/14, Bhattacharyya Chowk, Tirupati 465075",
P-000005,Dalbir Tak,,male,20,Unemployed,Telangana,Warangal,"H.No. 23, Raman Marg, Jodhpur 768426",
P-000006,Sarthak Parmer,,male,40,,Telangana,Hyderabad,"122, Kaul Ganj, Shivpuri-440268",
P-000007,Odika Dass,,female,19,Teacher,Uttarakhand,Nainital,"86/666, Subramaniam Zila, Ghaziabad 137215",
P-000008,Dalaja Acharya,,female,52,Farmer,Uttarakhand,Haldwani,"H.No. 90, Johal Zila, Jalgaon-595711",
P-000009,Viraj Srinivasan,V. Srinivasan;Shri Viraj Srinivasan,male,65,Government Employee,Haryana,Gurugram,"H.No. 215, Srinivas Road, Hazaribagh-385280",
P-000010,Chandani Lal,,female,39,Accountant,Haryana,Panipat,"H.No. 38, Thakkar Circle, Rajahmundry 363387",
P-000011,Amrita Bala,Shri Amrita Bala;A. Bala,female,49,Doctor,Karnataka,Bengaluru Urban,"H.No. 39, Sekhon Path, Bharatpur 313735",
P-000012,Wyatt Agarwal,,male,47,Software Engineer,Jharkhand,Jamtara,"11/637, Saraf Street, Chandigarh-761222",
P-000013,Forum Shroff,,female,26,Student,Madhya Pradesh,Indore,"52/882, Atwal Nagar, Hajipur-633043",
P-000014,Zashil Khosla,,male,42,,Kerala,Ernakulam,"62/05, Varughese Chowk, Orai 828807",
P-000015,Aahana Doctor,,female,40,Student,Karnataka,Bengaluru Urban,"91, Bhatia Circle, Kadapa-180334",
P-000016,Chavvi Tripathi,,female,55,Student,Kerala,Thiruvananthapuram,"H.No. 759, Vala Circle, Bally-887838",
P-000017,Harrison Sem,,male,45,Government Employee,Kerala,Thiruvananthapuram,"H.No. 675, Khosla Zila, Srinagar-412524",
P-000018,Vinaya Kanda,Shri Vinaya Kanda;VinayaKanda,female,33,,Haryana,Gurugram,"23, Sankar Street, Sonipat 355150",
P-000019,Veer Sastry,,male,43,Government Employee,Jharkhand,Ranchi,"H.No. 89, Vala Road, Gorakhpur 114402",
P-000020,Dhruv Sami,,male,59,,Telangana,Rangareddy,"889, Narain Chowk, Alwar 261401",
P-000021,Benjamin Kapadia,,male,35,Government Employee,Punjab,Ludhiana,"H.No. 705, Sahni Circle, Bikaner 831240",
P-000022,Harrison Muni,,male,28,Accountant,Rajasthan,Jaipur,"H.No. 78, Madan Street, Surat 000883",
P-000023,Krisha Sekhon,,female,22,Retired,Maharashtra,Pune,"78/684, Karpe Ganj, Davanagere 650201",
P-000024,Upasna Gade,,female,50,Doctor,Telangana,Warangal,"68/493, Bath Road, Udaipur 470455",
P-000025,Krisha Banerjee,K. Banerjee,female,56,Bank Employee,Uttar Pradesh,Kanpur,"H.No. 20, Raj Path, Fatehpur 833801",
P-000026,Chanchal Dhawan,Shri Chanchal Dhawan;C. Dhawan,female,36,Accountant,Punjab,Ludhiana,"04, Kaul Road, Bhimavaram-965724",
P-000027,Anya Varghese,Shri Anya Varghese,female,19,Government Employee,Gujarat,Rajkot,"89/09, Chada Ganj, Kalyan-Dombivli-516780",
P-000028,Jason Suri,,male,46,Government Employee,Maharashtra,Nashik,"18, Chanda Circle, Bhalswa Jahangir Pur 143337",
P-000029,Sai Bose,,female,69,Homemaker,Maharashtra,Mumbai,"H.No. 931, Din, Rohtak-992070",
P-000030,Lipika Chaudhary,L. Chaudhary;LipikaChaudhary,female,22,Farmer,Bihar,Bhagalpur,"H.No. 84, Shukla Chowk, Kochi-417047",
P-000031,Zehaan Sengupta,,male,25,Accountant,Kerala,Thiruvananthapuram,"319, Dhar Zila, Karimnagar 984153",
P-000032,Xavier Ramesh,,male,29,Shop Owner,Madhya Pradesh,Gwalior,"H.No. 776, Dhaliwal Road, Hapur 515055",
P-000033,Darpan Hayre,,male,53,,Maharashtra,Pune,"H.No. 51, Ramakrishnan Marg, Karimnagar 404104",
P-000034,Jeet Lata,,male,59,Shop Owner,Maharashtra,Nashik,"560, Jani Marg, Dhanbad-792470",
P-000035,Harinakshi Sodhi,,female,49,Government Employee,Assam,Dibrugarh,"H.No. 44, Ravi Road, Barasat-861221",
P-000036,Zashil Tank,Shri Zashil Tank;ZashilTank,male,38,Bank Employee,Assam,Dibrugarh,"H.No. 76, Hans Street, Mysore-581535",
P-000037,Harrison Bahri,HarrisonBahri,male,72,Retired,Gujarat,Surat,"83, Madan Marg, Ghaziabad-495288",
P-000038,Charita Madan,,female,38,Student,Jharkhand,Jamtara,"76, Bains Road, Patna-797016",
P-000039,Udarsh Kothari,,male,22,Homemaker,Jharkhand,Jamtara,"281, Chada Chowk, Mumbai 390424",
P-000040,Dayita Chaudhary,D. Chaudhary;DayitaChaudhary,female,67,Teacher,Bihar,Gaya,"93/64, Agarwal Ganj, Siwan 745378",
P-000041,Jatin Balakrishnan,,male,33,Accountant,Madhya Pradesh,Bhopal,"H.No. 037, Bumb Marg, Ambattur-537056",
P-000042,Siya Hora,,female,73,Bank Employee,Maharashtra,Nagpur,"81/373, Hari Road, Kirari Suleman Nagar 441979",
P-000043,Isaac Sundaram,,male,58,Student,Tamil Nadu,Salem,"26/03, Dhar Nagar, Faridabad-267511",
