phone_id,number,format_variants,registered_person_id,sim_status,carrier
PH-000001,+918272845084,8272845084;+91-8272845084;+91 82728 45084,P-000001,active,BSNL
PH-000002,+916120681551,6120681551;+91-6120681551;+91 61206 81551,,suspected_fake,Jio
PH-000003,+918809178271,8809178271;+91-8809178271;+91 88091 78271,,suspected_fake,Jio
PH-000004,+918300412785,8300412785;+91-8300412785;+91 83004 12785,,prepaid_unregistered,Jio
PH-000005,+917562974498,7562974498;+91-7562974498;+91 75629 74498,,suspected_fake,Vi
PH-000006,+917301340451,7301340451;+91-7301340451;+91 73013 40451,,prepaid_unregistered,BSNL
PH-000007,+917711562231,7711562231;+91-7711562231;+91 77115 62231,,prepaid_unregistered,Airtel
PH-000008,+916612370671,6612370671;+91-6612370671;+91 66123 70671,,suspected_fake,Vi
PH-000009,+917396578526,7396578526;+91-7396578526;+91 73965 78526,,suspected_fake,BSNL
PH-000010,+918413657437,8413657437;+91-8413657437;+91 84136 57437,,suspected_fake,Airtel
PH-000011,+916719764746,6719764746;+91-6719764746;+91 67197 64746,,suspected_fake,Jio
PH-000012,+919307656181,9307656181;+91-9307656181;+91 93076 56181,,prepaid_unregistered,Jio
PH-000013,+918682457749,8682457749;+91-8682457749;+91 86824 57749,,suspected_fake,Jio
PH-000014,+917480604875,7480604875;+91-7480604875;+91 74806 04875,,prepaid_unregistered,Jio
PH-000015,+919076311346,9076311346;+91-9076311346;+91 90763 11346,,suspected_fake,Vi
PH-000016,+919656131481,9656131481;+91-9656131481;+91 96561 31481,,suspected_fake,BSNL
PH-000017,+919596239886,9596239886;+91-9596239886;+91 95962 39886,,suspected_fake,BSNL
PH-000018,+918770798302,8770798302;+91-8770798302;+91 87707 98302,,suspected_fake,Vi
PH-000019,+916337478681,6337478681;+91-6337478681;+91 63374 78681,,suspected_fake,Airtel
PH-000020,+917316284512,7316284512;+91-7316284512;+91 73162 84512,,suspected_fake,BSNL
PH-000021,+917101750645,7101750645;+91-7101750645;+91 71017 50645,,suspected_fake,Jio
PH-000022,+918272275296,8272275296;+91-8272275296;+91 82722 75296,,prepaid_unregistered,Airtel
PH-000023,+917454831856,7454831856;+91-7454831856;+91 74548 31856,,suspected_fake,Vi
PH-000024,+916076547393,6076547393;+91-6076547393;+91 60765 47393,,suspected_fake,Vi
PH-000025,+919956109098,9956109098;+91-9956109098;+91 99561 09098,,suspected_fake,Vi
PH-000026,+919368937073,9368937073;+91-9368937073;+91 93689 37073,,suspected_fake,Airtel
PH-000027,+918427934879,8427934879;+91-8427934879;+91 84279 34879,,suspected_fake,Jio
PH-000028,+918650145392,8650145392;+91-8650145392;+91 86501 45392,,suspected_fake,Vi
PH-000029,+916592144864,6592144864;+91-6592144864;+91 65921 44864,,suspected_fake,BSNL
PH-000030,+918854035353,8854035353;+91-8854035353;+91 88540 35353,,prepaid_unregistered,Vi
PH-000031,+918044084235,8044084235;+91-8044084235;+91 80440 84235,,suspected_fake,Vi
PH-000032,+918182641977,8182641977;+91-8182641977;+91 81826 41977,,suspected_fake,Airtel
PH-000033,+918694827752,8694827752;+91-8694827752;+91 86948 27752,,suspected_fake,Vi
PH-000034,+916333038328,6333038328;+91-6333038328;+91 63330 38328,,suspected_fake,BSNL
PH-000035,+918750336873,8750336873;+91-8750336873;+91 87503 36873,,suspected_fake,Vi
PH-000036,+916145172882,6145172882;+91-6145172882;+91 61451 72882,,prepaid_unregistered,Airtel
PH-000037,+917624395717,7624395717;+91-7624395717;+91 76243 95717,,suspected_fake,BSNL
PH-000038,+917507733881,7507733881;+91-7507733881;+91 75077 33881,,suspected_fake,BSNL
PH-000039,+917915213855,7915213855;+91-7915213855;+91 79152 13855,,suspected_fake,BSNL
PH-000040,+916804677454,6804677454;+91-6804677454;+91 68046 77454,,prepaid_unregistered,Airtel
PH-000041,+917721359631,7721359631;+91-7721359631;+91 77213 59631,,prepaid_unregistered,Airtel
PH-000042,+916920877944,6920877944;+91-6920877944;+91 69208 77944,,prepaid_unregistered,BSNL
PH-000043,+918804273332,8804273332;+91-8804273332;+91 88042 73332,,suspected_fake,Vi
PH-000044,+917765066081,7765066081;+91-7765066081;+91 77650 66081,,suspected_fake,Airtel
PH-000045,+919277228628,9277228628;+91-9277228628;+91 92772 28628,,prepaid_unregistered,BSNL
PH-000046,+918413175918,8413175918;+91-8413175918;+91 84131 75918,,suspected_fake,Jio
PH-000047,+917201535310,7201535310;+91-7201535310;+91 72015 35310,,suspected_fake,Airtel
PH-000048,+916773643289,6773643289;+91-6773643289;+91 67736 43289,,suspected_fake,BSNL
PH-000049,+917058351371,7058351371;+91-7058351371;+91 70583 51371,,suspected_fake,Vi
PH-000050,+917049079690,7049079690;+91-7049079690;+91 70490 79690,,suspected_fake,BSNL
PH-000051,+919163885862,9163885862;+91-9163885862;+91 91638 85862,,suspected_fake,Vi
PH-000052,+918917051677,8917051677;+91-8917051677;+91 89170 51677,,suspected_fake,Airtel
PH-000053,+918039020475,8039020475;+91-8039020475;+91 80390 20475,,prepaid_unregistered,Jio
PH-000054,+917747761325,7747761325;+91-7747761325;+91 77477 61325,,suspected_fake,BSNL
